team,run_id,macro_f1,submitted_at,author_type,model,notes



hadilaff,form-submission,0.66942255,2026-03-05 08:26:00 UTC,human,GraphSAGE (3-layer),Submitted via Secure Google Form


Tasneem Selim,form-submission,0.59802280,2026-03-06 21:05:52 UTC,human,,Submitted via Secure Google Form
VinitSingroha,form-submission,0.60909841,2026-03-07 19:06:09 UTC,human,Dual-Path Degree-Gated GraphSAGE,Submitted via Secure Google Form
Sanae ZRIGUI,form-submission,0.62051443,2026-03-07 21:24:20 UTC,human,GCN ,Submitted via Secure Google Form
gururgg,form-submission,0.80633531,2026-03-11 15:22:11 UTC,human,2 Layer GAT with Skip Knowledge,Submitted via Secure Google Form
